Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Valor de mercado (Transfermarkt),Vencimiento contrato,Partidos jugados,Minutos jugados,Goles,xG,Asistencias,xA,Duelos/90,"Duelos ganados, %",País de nacimiento,Pasaporte,Pie,Altura,Peso,En prestamo,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Centros desde la banda izquierda/90,"Precisión centros desde la banda izquierda, %",Centros desde la banda derecha/90,"Precisión centros desde la banda derecha, %",Centros al área pequeña/90,Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases cortos / medios /90,"Precisión pases cortos / medios, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90.1,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90.1,Tiros libres/90,Tiros libres directos/90,"Tiros libres directos, %",Córneres/90,Penaltis a favor,"Penaltis realizados, %",Torneo,Posición 1,Posición 2,Posición 3,Posición,Id,Percentil Partidos jugados,Percentil Minutos jugados,Percentil Tarjetas amarillas,Percentil Tarjetas rojas,Percentil Faltas,Percentil Faltas recibidas,Percentil Duelos,Percentil Duelos Ganados,Percentil Duelos Defensivos,Percentil Duelos Defensivos Ganados,Percentil Duelos Aereos,Percentil Duelos Aereos Ganados,Percentil Duelos Ofensivos,Percentil Duelos Ofensivos Ganados,Percentil Interceptaciones,Percentil Entradas,Percentil Acciones defensivas,Percentil Tiro Interceptado,Percentil Carreras En Progresion,Percentil Aceleraciones,Percentil Pases Progresivos,Percentil Pases Progresivos Acertados,Percentil Pases Hacia Adelante,Percentil Pases Hacia Adelante Acertados,Percentil Pases,Percentil Pases Acertados,Percentil Pases Largos,Percentil Pases Largos Acertados,Percentil Pases Al Ultimo Tercio,Percentil Pases Al Ultimo Tercio Acertados,Percentil Pases Recibidos,Percentil Toques en el Área,Percentil Goles,Percentil Goles s/Penales,Percentil xG,Percentil Goles de Cabeza,Percentil Remates,Percentil Remates al Arco,Percentil Conversión,Percentil Asistencias,Percentil xA,Percentil Acciones de Ataque,Percentil Regates,Percentil Regates Exitosos,Percentil Centros,Percentil Centros Acertados,Percentil Pases en Profundidad,Percentil Pases en Profundidad Acertados,Percentil Segunda Asistencia,Percentil Jugadas Claves
F. Calderón,Universidad de Chile,Universidad de Chile,"RCB, CB",26,2000000,2026-12-31,27,2672,2,2.38,0,1.18,18.9,59.71,Argentina,Argentina,derecho,184,80,no,10.61,7.17,74.18,6.0,51.69,0.27,0.47,0.61,5.02,8.82,1.04,11,0.37,0,0.0,0.47,0.07,2,0.07,0.08,1,0.03,13,0.44,38.46,15.385,0.0,0.1,66.67,0.0,0.0,0.1,66.67,0.0,0.37,54.55,1.65,36.73,1.01,0.51,0.0,27.25,0.2,0.81,42.14,87.85,15.19,78.05,2.29,92.65,20.55,94.75,38.77,90.96,3.27,51.55,19.59,35.26,0.04,0.17,0.0,0.0,0.03,100.0,0.13,2.86,68.24,0.37,36.36,0.1,33.33,0.24,0.07,6.16,54.1,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, CB,0,Zaguero,F. Calderón_Universidad de Chile_26,90,90,91,32,83,94,98,43,86,68,96,29,62,23,63,45,78,59,64,23,36,5,56,74,90,86,7,23,27,78,86,100,82,84,78,69,70,49,68,40,97,60,63,60,51,82,17,46,42,97
J. Villagra,Colo Colo,Unión Española,LCB,23,1300000,2028-12-31,12,1232,1,1.23,0,0.0,12.93,64.41,Chile,Chile,derecho,183,71,no,8.4,5.84,76.25,3.65,54.0,0.15,0.21,0.58,3.8,5.53,0.66,1,0.07,0,0.0,0.58,0.07,1,0.07,0.09,1,0.07,6,0.44,50.0,16.667,0.0,0.07,100.0,0.0,0.0,0.07,100.0,0.0,0.58,50.0,1.61,45.45,0.73,0.44,0.22,18.85,0.73,0.58,30.9,86.52,12.42,77.06,2.48,91.18,12.71,94.25,27.03,89.19,3.8,67.31,19.9,37.36,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.75,50.0,0.22,0.0,0.0,0.0,0.0,0.07,3.8,44.23,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB,0,0,Zaguero,J. Villagra_Colo Colo_23,8,17,2,32,29,66,23,78,58,72,23,41,60,48,4,22,21,49,55,90,1,1,15,64,39,66,13,94,5,9,47,80,82,84,84,94,70,77,75,40,30,82,90,46,40,93,4,10,97,26
Eduardo Bauermann,Everton,Everton,"RCB, CB",28,1000000,2024-12-31,15,1538,1,0.7,0,0.02,14.86,61.81,Brazil,Brazil,derecho,187,85,no,10.42,5.03,76.74,5.33,57.14,0.12,0.16,0.88,6.44,9.07,0.82,2,0.12,0,0.0,0.18,0.06,1,0.06,0.04,1,0.06,6,0.35,50.0,16.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.46,52.0,0.7,0.0,0.0,17.26,0.18,0.47,32.48,83.96,12.76,72.48,3.98,91.18,13.22,93.36,27.97,88.08,4.51,58.44,21.87,38.33,0.0,0.12,0.06,0.0,0.0,0.0,0.0,2.98,54.9,0.29,0.0,0.06,100.0,0.06,0.0,5.91,54.46,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, CB,0,Zaguero,Eduardo Bauermann_Everton_28,19,27,19,32,60,52,72,59,23,76,79,52,54,80,92,17,68,95,1,23,25,7,25,43,49,49,31,62,31,17,27,76,72,74,44,89,52,77,75,40,30,18,4,4,9,19,9,99,94,26
B. Gazzolo,Huachipato,Huachipato,"RCB, CB",27,1000000,2025-12-31,27,2683,0,2.47,0,0.25,14.83,64.48,Chile,"Chile, Italy",derecho,182,79,no,10.63,6.94,73.91,4.23,59.52,0.37,0.51,0.4,5.13,7.13,0.97,3,0.1,0,0.0,0.3,0.0,0,0.0,0.08,0,0.0,12,0.4,33.33,0.0,0.0,0.1,66.67,0.0,0.0,0.07,100.0,0.0,0.23,42.86,1.07,50.0,0.74,0.47,0.03,20.13,0.07,0.23,34.45,87.15,13.48,79.1,2.38,94.37,15.4,95.21,29.12,91.36,5.23,64.1,21.55,36.44,0.01,0.07,0.0,0.0,0.0,0.0,0.07,2.55,65.79,0.27,50.0,0.1,33.33,0.17,0.07,6.41,64.4,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, CB,0,Zaguero,B. Gazzolo_Huachipato_27,90,92,11,32,79,9,70,80,80,66,39,68,37,72,70,60,81,33,58,49,49,43,41,80,64,72,49,86,13,62,58,82,23,23,78,33,66,44,23,40,66,35,34,28,51,82,17,46,42,73
D. González,Universidad Católica,Universidad Católica,"RCB, LCB, CB",22,800000,2025-12-31,26,2574,1,0.36,1,0.33,13.15,64.63,Chile,Chile,derecho,186,79,no,9.06,5.38,78.57,4.3,56.91,0.42,0.69,0.38,4.41,7.28,0.35,4,0.14,0,0.0,0.35,0.03,1,0.03,0.01,1,0.03,4,0.14,50.0,25.0,0.03,0.14,25.0,0.07,50.0,0.07,0.0,0.03,0.31,77.78,1.22,54.29,0.24,0.28,0.07,23.29,0.38,0.59,38.15,88.08,15.42,77.55,3.08,96.59,16.89,96.07,31.43,93.88,6.57,61.7,22.81,38.92,0.01,0.1,0.0,0.0,0.0,0.0,0.03,3.67,69.52,0.52,40.0,0.52,53.33,0.28,0.03,6.96,66.33,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, LCB, CB,Zaguero,D. González_Universidad Católica_22,80,80,28,32,4,68,29,84,39,90,41,50,49,88,28,69,39,27,32,68,58,50,60,68,76,90,76,75,47,82,76,11,50,50,7,69,13,77,87,82,66,39,52,90,61,44,92,88,42,53
M. Falcón,Colo Colo,Colo Colo,"LCB, RCB, CB",27,750000,2025-12-31,22,1955,2,1.92,0,0.0,14.78,64.49,Uruguay,Uruguay,derecho,179,80,no,8.29,5.25,78.07,3.68,60.0,0.09,0.17,0.23,4.1,7.56,0.55,5,0.23,1,0.05,0.6,0.09,2,0.09,0.09,1,0.05,8,0.37,50.0,25.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.74,50.0,2.85,45.16,0.64,1.1,0.46,30.38,0.41,0.97,45.58,88.69,16.9,78.75,4.33,93.62,20.16,95.89,41.62,92.04,3.91,54.12,19.68,34.48,0.0,0.0,0.05,0.0,0.05,100.0,0.05,4.47,74.23,0.23,20.0,0.23,40.0,0.09,0.0,6.91,62.67,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB, RCB, CB,Zaguero,M. Falcón_Colo Colo_27,50,50,48,81,18,98,68,82,33,86,25,73,98,43,17,11,19,1,92,100,56,33,72,78,94,92,17,39,64,96,94,67,90,92,84,82,60,77,87,40,30,86,96,46,32,19,57,59,92,65
A. Ceza,Palestino,Palestino,"RCB, LCB",22,700000,0,10,986,0,0.16,0,0.0,13.51,56.76,Chile,Chile,derecho,182,77,no,8.58,5.75,77.78,4.02,36.36,0.46,0.68,0.55,3.65,5.41,0.37,1,0.09,0,0.0,0.18,0.0,0,0.0,0.01,0,0.0,1,0.09,0.0,0.0,0.0,0.09,100.0,0.09,100.0,0.0,0.0,0.0,0.18,50.0,0.73,75.0,0.18,0.37,0.18,17.53,0.91,0.46,30.21,85.5,13.97,73.86,2.1,95.65,12.05,96.21,24.65,90.37,5.48,63.33,21.75,35.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,62.5,0.37,75.0,0.37,25.0,0.27,0.09,6.02,74.24,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, LCB,0,Zaguero,A. Ceza_Palestino_22,3,9,6,32,6,50,35,15,54,84,35,7,17,100,1,76,23,44,49,84,29,96,43,50,35,60,52,84,44,50,35,5,23,23,7,33,1,9,23,40,30,18,23,46,45,93,79,36,42,26
T. Asta-Buruaga,Everton,Everton,RCB,28,700000,2025-12-31,27,2311,3,1.3,0,0.77,10.67,56.2,Chile,Chile,derecho,187,71,si,7.83,4.56,69.23,3.08,46.84,0.08,0.11,0.66,4.6,6.63,0.62,4,0.16,0,0.0,0.43,0.12,3,0.12,0.05,2,0.08,10,0.39,40.0,30.0,0.0,0.27,42.86,0.0,0.0,0.27,42.86,0.0,0.27,42.86,1.17,40.0,0.78,0.86,0.12,21.73,0.35,0.31,34.89,87.28,17.17,80.5,3.15,93.83,11.18,95.12,28.31,91.47,6.31,70.37,20.85,35.25,0.03,0.31,0.0,0.0,0.08,50.0,0.12,5.14,74.24,0.55,64.29,0.23,16.67,0.39,0.12,8.8,76.11,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.08,0,0.0,Chile Primera División,RCB,0,0,Zaguero,T. Asta-Buruaga_Everton_28,90,72,30,32,23,20,9,11,9,35,11,11,42,33,37,8,7,66,84,79,82,98,78,94,70,79,69,100,74,98,74,90,94,96,54,96,64,52,94,40,89,52,43,28,76,60,57,25,42,92
S. Sánchez,Coquimbo Unido,Coquimbo Unido,LCB,29,650000,2024-12-31,16,1590,1,0.28,0,0.0,14.72,67.31,Argentina,Argentina,izquierdo,186,78,no,8.15,4.81,71.76,7.25,64.06,0.28,0.35,0.4,4.42,5.52,0.62,2,0.11,0,0.0,0.06,0.06,1,0.06,0.02,1,0.06,4,0.23,25.0,25.0,0.0,0.11,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.23,25.0,0.57,0.06,0.0,14.21,0.0,0.4,29.38,77.65,16.81,68.35,1.36,87.5,9.28,93.29,22.42,86.87,6.85,48.76,23.2,38.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.68,43.08,0.17,0.0,0.0,0.0,0.11,0.0,6.85,61.16,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB,0,0,Zaguero,S. Sánchez_Coquimbo Unido_29,26,30,15,32,23,37,66,92,17,50,100,86,1,4,31,48,17,33,6,23,54,25,70,13,25,7,83,13,49,5,7,56,72,74,18,89,26,32,87,40,30,2,4,4,56,19,4,10,42,26
B. Ampuero,Universidad Católica,Universidad Católica,"RCB, RB",31,600000,2025-12-31,27,2701,3,0.86,1,0.17,13.0,59.23,Chile,Chile,derecho,184,82,no,7.76,4.63,69.06,4.4,59.09,0.63,1.03,0.37,3.93,6.37,0.43,7,0.23,0,0.0,0.53,0.1,3,0.1,0.03,0,0.0,6,0.2,66.67,50.0,0.03,0.3,44.44,0.0,0.0,0.3,44.44,0.03,0.57,47.06,2.17,46.15,0.33,1.17,0.3,19.83,1.03,0.63,30.82,84.76,12.56,75.6,2.93,90.91,12.63,93.4,26.99,87.78,3.53,65.09,19.81,36.05,0.01,0.17,0.03,0.0,0.03,0.0,0.1,2.43,67.12,0.5,53.33,0.23,28.57,0.2,0.13,5.76,63.58,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, RB,0,Zaguero,B. Ampuero_Universidad Católica_31,90,94,48,32,11,77,25,35,12,31,47,62,88,54,11,81,5,22,94,95,21,39,19,58,37,52,10,90,9,72,54,24,92,94,30,33,22,96,100,82,66,73,88,33,81,62,57,41,86,84
B. Cabrera,Coquimbo Unido,Coquimbo Unido,"RCB, RB",27,550000,2024-12-31,19,1611,3,1.94,0,0.07,16.03,61.32,Argentina,Argentina,derecho,183,79,no,10.78,7.21,78.29,4.69,47.62,0.73,0.88,0.5,4.41,5.35,1.12,5,0.28,0,0.0,0.56,0.17,3,0.17,0.11,2,0.11,10,0.56,30.0,30.0,0.0,0.22,25.0,0.0,0.0,0.22,25.0,0.06,0.45,75.0,1.79,46.88,0.67,0.28,0.06,15.64,0.45,0.34,27.43,79.23,12.85,66.09,1.96,94.29,9.72,91.38,20.95,87.2,6.31,53.98,22.24,34.88,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.97,59.15,0.78,28.57,0.22,50.0,0.22,0.06,6.15,70.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, RB,0,Zaguero,B. Cabrera_Coquimbo Unido_27,38,33,76,32,89,27,86,56,88,88,60,17,72,56,28,88,84,41,32,62,32,76,27,7,13,13,69,37,56,33,19,71,99,99,93,100,89,37,94,40,30,80,79,81,72,44,52,80,42,26
L. Casanova,Deportes Iquique,Deportes Iquique,"LCB, RCB",32,500000,2024-12-31,24,2252,0,1.67,2,0.13,15.55,69.15,Chile,Chile,derecho,183,92,no,8.99,5.56,79.86,5.04,69.05,0.16,0.25,0.56,4.4,6.95,0.76,5,0.2,0,0.0,0.68,0.0,0,0.0,0.07,0,0.0,13,0.52,46.15,0.0,0.08,0.12,100.0,0.0,0.0,0.12,100.0,0.04,0.36,77.78,1.72,48.84,0.64,0.8,0.0,20.42,0.48,0.6,35.69,82.08,16.35,68.95,1.56,87.18,15.51,95.36,28.02,87.59,7.55,61.38,23.7,39.08,0.01,0.08,0.0,0.0,0.04,100.0,0.04,5.48,66.42,0.72,44.44,0.16,75.0,0.28,0.12,8.39,62.38,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.04,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB, RCB,0,Zaguero,L. Casanova_Deportes Iquique_32,67,68,40,32,50,72,80,94,47,98,68,100,68,64,25,27,36,47,80,23,76,27,62,17,72,29,88,70,84,68,62,67,23,23,69,33,86,65,23,99,66,96,60,90,58,93,34,96,42,58
J. Tiznado,Unión Española,Unión Española,"LCB, RCB, RB",30,500000,2025-12-31,23,2126,0,0.3,0,0.06,14.14,58.98,Chile,Chile,derecho,0,0,no,9.36,5.67,62.69,4.87,61.74,0.3,0.46,0.68,5.5,8.59,0.89,4,0.17,0,0.0,0.51,0.0,0,0.0,0.01,0,0.0,9,0.38,33.33,0.0,0.0,0.3,28.57,0.0,0.0,0.3,28.57,0.04,0.38,77.78,1.27,50.0,0.42,0.3,0.0,27.43,0.55,0.51,41.19,85.92,17.95,75.47,2.2,96.15,18.12,95.09,35.81,91.25,5.12,51.24,21.78,36.67,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.75,66.15,0.38,33.33,0.38,22.22,0.04,0.08,7.15,60.36,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB, RCB, RB,Zaguero,J. Tiznado_Unión Española_30,59,56,33,32,69,58,45,31,50,9,65,80,52,72,78,50,49,72,38,23,62,17,86,56,86,62,46,19,23,64,88,34,23,23,7,33,62,44,23,40,30,70,67,90,81,48,82,30,42,26
R. Malanca,Huachipato,Huachipato,"RCB, LCB",21,500000,2025-12-31,23,1722,0,0.61,0,0.0,14.06,57.99,Argentina,"Argentina, Italy",derecho,188,80,no,9.98,5.17,64.65,5.17,59.6,0.68,0.93,0.63,5.96,8.18,0.99,4,0.21,0,0.0,0.16,0.0,0,0.0,0.03,0,0.0,2,0.1,50.0,0.0,0.0,0.21,50.0,0.05,0.0,0.16,66.67,0.1,0.21,0.0,0.84,37.5,0.31,0.16,0.05,17.25,0.37,0.31,31.25,80.6,17.09,72.17,1.93,97.3,9.83,93.09,24.2,86.18,6.85,61.83,22.94,37.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,65.66,0.37,28.57,0.16,66.67,0.16,0.05,8.05,66.23,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, LCB,0,Zaguero,R. Malanca_Huachipato_21,59,41,43,32,81,20,39,25,27,11,74,70,27,26,84,85,64,62,15,56,74,49,74,37,41,21,83,78,76,60,25,21,23,23,30,33,3,77,23,40,30,15,31,4,69,69,34,92,42,26
E. Hernández,Coquimbo Unido,Coquimbo Unido,"RCB, LCB",25,500000,0,12,1072,1,1.29,0,0.0,17.63,60.95,Argentina,"Argentina, Chile",derecho,182,77,no,9.82,6.97,79.52,4.87,48.28,0.34,0.49,0.25,3.95,5.76,1.09,4,0.34,0,0.0,0.42,0.08,1,0.08,0.11,0,0.0,9,0.76,44.44,11.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.0,1.18,14.29,0.76,0.17,0.0,11.84,0.34,0.42,21.91,78.93,10.24,67.21,1.51,94.44,8.4,91.0,18.39,86.3,3.53,40.48,19.46,30.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,38.71,0.17,0.0,0.17,50.0,0.0,0.0,4.45,56.6,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,RCB, LCB,0,Zaguero,E. Hernández_Coquimbo Unido_25,8,11,87,32,87,42,90,52,82,94,65,21,46,1,13,56,62,7,17,23,5,11,1,11,1,11,10,3,17,1,1,85,88,90,93,33,98,62,60,40,30,49,58,10,9,19,40,80,42,26
G. Ortíz,Audax Italiano,Audax Italiano,"LCB, CB",32,500000,2025-12-31,24,2317,0,1.2,0,0.45,10.29,58.49,Argentina,Argentina,derecho,182,76,si,6.6,4.08,65.71,4.39,57.52,0.08,0.1,0.31,3.85,4.94,0.54,8,0.31,2,0.08,0.12,0.0,0,0.0,0.05,0,0.0,9,0.35,22.22,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.08,50.0,0.54,42.86,0.54,0.43,0.0,20.63,0.35,0.12,33.13,82.42,16.78,73.84,1.63,92.86,12.24,93.02,25.99,88.64,7.11,60.11,24.65,41.19,0.02,0.04,0.0,0.0,0.0,0.0,0.0,4.74,64.75,0.5,30.77,0.19,40.0,0.16,0.0,8.43,67.74,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Chile Primera División,LCB, CB,0,Zaguero,G. Ortíz_Audax Italiano_32,67,74,82,96,16,3,3,27,3,13,45,54,3,37,7,8,1,15,52,23,78,60,68,49,56,33,86,66,68,56,66,53,23,23,54,33,52,27,23,40,79,11,7,46,26,19,43,59,42,26
